Tanggal,Curah_Hujan_mm,Suhu_Rata_C,Nama Provinsi,Tahun,Bulan
2022-03-03,1.7,19.5,Aceh,2022,Maret
2022-03-04,5.1,18.9,Aceh,2022,Maret
2022-03-05,7.6,18.2,Aceh,2022,Maret
2022-03-06,16.0,19.0,Aceh,2022,Maret
2022-03-07,15.3,18.9,Aceh,2022,Maret
2022-03-08,21.7,19.2,Aceh,2022,Maret
2022-03-09,17.2,19.2,Aceh,2022,Maret
2022-03-10,6.5,19.4,Aceh,2022,Maret
2022-03-11,17.2,19.4,Aceh,2022,Maret
2022-03-12,3.0,19.2,Aceh,2022,Maret
2022-03-13,4.5,19.4,Aceh,2022,Maret
2022-03-14,6.9,19.2,Aceh,2022,Maret
2022-03-15,6.7,19.4,Aceh,2022,Maret
2022-03-16,34.6,19.3,Aceh,2022,Maret
2022-03-17,12.5,19.6,Aceh,2022,Maret
2022-03-18,0.6,19.8,Aceh,2022,Maret
2022-03-19,2.4,19.8,Aceh,2022,Maret
2022-03-20,3.2,19.3,Aceh,2022,Maret
2022-03-21,1.1,19.8,Aceh,2022,Maret
2022-03-22,0.2,19.5,Aceh,2022,Maret
2022-03-23,0.2,19.9,Aceh,2022,Maret
2022-03-24,5.3,19.4,Aceh,2022,Maret
2022-03-25,3.2,19.5,Aceh,2022,Maret
2022-03-26,17.4,19.2,Aceh,2022,Maret
2022-03-27,3.4,19.3,Aceh,2022,Maret
2022-03-28,0.1,19.4,Aceh,2022,Maret
2022-03-29,3.5,19.1,Aceh,2022,Maret
2022-03-30,4.9,19.3,Aceh,2022,Maret
2022-03-31,2.0,19.5,Aceh,2022,Maret
2022-04-01,2.8,19.1,Aceh,2022,April
2022-04-02,3.5,19.5,Aceh,2022,April
2022-04-03,11.4,18.7,Aceh,2022,April
2022-04-04,19.0,19.0,Aceh,2022,April
2022-04-05,4.9,19.1,Aceh,2022,April
2022-04-06,3.2,18.8,Aceh,2022,April
2022-04-07,9.7,18.9,Aceh,2022,April
2022-04-08,10.0,19.1,Aceh,2022,April
2022-04-09,5.0,19.2,Aceh,2022,April
2022-04-10,1.5,19.7,Aceh,2022,April
2022-04-11,5.9,18.9,Aceh,2022,April
2022-04-12,3.5,18.7,Aceh,2022,April
2022-04-13,8.3,18.7,Aceh,2022,April
2022-04-14,4.7,18.9,Aceh,2022,April
2022-04-15,2.9,19.3,Aceh,2022,April
2022-04-16,1.7,20.2,Aceh,2022,April
2022-04-17,3.1,19.9,Aceh,2022,April
2022-04-18,2.5,20.3,Aceh,2022,April
2022-04-19,19.2,19.4,Aceh,2022,April
2022-04-20,5.7,19.8,Aceh,2022,April
2022-04-21,16.2,19.5,Aceh,2022,April
2022-04-22,7.9,19.7,Aceh,2022,April
2022-04-23,9.8,19.5,Aceh,2022,April
2022-04-24,23.8,20.3,Aceh,2022,April
2022-04-25,16.1,19.6,Aceh,2022,April
2022-04-26,15.9,19.7,Aceh,2022,April
2022-04-27,9.2,20.1,Aceh,2022,April
2022-04-28,2.9,20.4,Aceh,2022,April
2022-04-29,3.3,20.3,Aceh,2022,April
2022-04-30,12.5,20.3,Aceh,2022,April
2022-05-01,0.6,19.9,Aceh,2022,Mei
2022-05-02,20.0,19.6,Aceh,2022,Mei
2022-05-03,14.3,19.9,Aceh,2022,Mei
2022-05-04,4.8,19.9,Aceh,2022,Mei
2022-05-05,14.9,19.4,Aceh,2022,Mei
2022-05-06,22.5,19.7,Aceh,2022,Mei
2022-05-07,7.6,20.1,Aceh,2022,Mei
2022-05-08,4.3,20.7,Aceh,2022,Mei
2022-05-09,2.6,20.3,Aceh,2022,Mei
2022-05-10,3.8,20.5,Aceh,2022,Mei
2022-05-11,1.4,19.5,Aceh,2022,Mei
2022-05-12,0.1,20.5,Aceh,2022,Mei
2022-05-13,0.0,21.1,Aceh,2022,Mei
2022-05-14,1.8,20.5,Aceh,2022,Mei
2022-05-15,6.9,19.7,Aceh,2022,Mei
2022-05-16,6.0,19.2,Aceh,2022,Mei
2022-05-17,0.0,21.0,Aceh,2022,Mei
2022-05-18,0.1,19.8,Aceh,2022,Mei
2022-05-19,0.0,21.0,Aceh,2022,Mei
2022-05-20,0.1,19.8,Aceh,2022,Mei
2022-05-21,0.0,20.2,Aceh,2022,Mei
2022-05-22,0.4,19.9,Aceh,2022,Mei
2022-05-23,0.2,21.0,Aceh,2022,Mei
2022-05-24,0.1,20.8,Aceh,2022,Mei
2022-05-25,0.1,20.3,Aceh,2022,Mei
